[2026-06-20 21:47:33] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:33] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:33] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:33] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:34] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:34] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:34] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:35] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:35] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:47:35] Estacion (69,23) | Nave PID 67950 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:29] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:30] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:30] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:39] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
